Index,Device Type,Status,IPv4 Address,Port,Enhanced SDK Service Port,Software Version,IPv4 Gateway,HTTP Port,Device Serial Number,Subnet Mask,MAC Address,Encoding Channel(s),DSP Version,Start Time,IPv6 Address,IPv6 GateWay,IPv6 Prefix Length,Support IPv6,IPv6 Modifiable,Support DHCP,IPv4 DHCP Status,Support Hik-Connect,Hik-Connect Status,Hik-Connect Binding Status,Hik-Connect Version
001,DS-K1T671M-L,Active,10.0.0.5, 8000,N/A,V3.2.30build 230531,10.0.0.2,80,DS-K1T671M-L20230531V030230ENAA7715198,255.255.255.0,bc-5e-33-57-5a-98, 1,"V0.0, build 000000",2025-11-24 12:29:29,,, 0,No,No,Yes,OFF,Yes,OFF,N/A,N/A
002,DS-K1T671M-L,Active,10.0.0.4, 8000,N/A,V3.2.30build 231009,10.0.0.2,80,DS-K1T671M-L20231009V030230ENAA7715059,255.255.255.0,bc-5e-33-57-5a-0d, 1,"V0.0, build 000000",2025-12-04 17:31:26,,, 0,No,No,Yes,OFF,Yes,OFF,N/A,N/A
004,DS-K1T671M-L,Active,10.0.0.13, 8000,N/A,V3.2.30build 230531,10.0.0.2,80,DS-K1T671M-L20230531V030230ENAA7715257,255.255.255.0,bc-5e-33-57-5a-d3, 1,"V0.0, build 000000",2025-05-09 17:12:02,,, 0,No,No,Yes,OFF,Yes,OFF,N/A,N/A
005,DS-K1T671M-L,Active,10.0.0.9, 8000,N/A,V3.2.30build 231009,10.0.0.2,80,DS-K1T671M-L20231009V030230ENAA7715049,255.255.255.0,bc-5e-33-57-5a-03, 1,"V0.0, build 000000",2025-11-26 15:04:19,,, 0,No,No,Yes,OFF,Yes,OFF,N/A,N/A
